order_id,customer_id,order_datetime,order_date,order_status
ORD_0000001,CUST_009830,2024-05-21 11:06:00,2024-05-21,배송완료
ORD_0000002,CUST_011186,2024-04-01 20:57:00,2024-04-01,배송중
ORD_0000003,CUST_001447,2024-01-24 21:04:00,2024-01-24,배송완료
ORD_0000004,CUST_009224,2024-01-25 18:40:00,2024-01-25,배송완료
ORD_0000005,CUST_014391,2024-06-11 21:30:00,2024-06-11,배송완료
ORD_0000006,CUST_008148,2024-06-03 09:29:00,2024-06-03,취소
ORD_0000007,CUST_006719,2024-02-02 16:56:00,2024-02-02,배송중
ORD_0000008,CUST_006226,2024-02-10 14:03:00,2024-02-10,배송완료
ORD_0000009,CUST_009464,2024-06-27 00:46:00,2024-06-27,배송완료
ORD_0000010,CUST_019288,2024-01-18 20:26:00,2024-01-18,배송완료
ORD_0000011,CUST_008518,2024-03-06 17:17:00,2024-03-06,배송중
ORD_0000012,CUST_009723,2024-01-08 19:29:00,2024-01-08,취소
ORD_0000013,CUST_019371,2024-03-31 21:10:00,2024-03-31,배송완료
ORD_0000014,CUST_017960,2024-03-17 07:00:00,2024-03-17,결제완료
ORD_0000015,CUST_007384,2024-04-10 18:05:00,2024-04-10,배송중
ORD_0000016,CUST_016200,2024-03-01 12:46:00,2024-03-01,배송완료
ORD_0000017,CUST_005905,2024-04-09 21:22:00,2024-04-09,배송완료
ORD_0000018,CUST_008888,2024-05-30 12:23:00,2024-05-30,배송완료
ORD_0000019,CUST_013346,2024-06-18 18:16:00,2024-06-18,배송완료
ORD_0000020,CUST_013473,2024-02-21 12:55:00,2024-02-21,배송완료
ORD_0000021,CUST_010766,2024-03-28 22:33:00,2024-03-28,결제완료
ORD_0000022,CUST_015701,2024-05-08 20:09:00,2024-05-08,배송완료
ORD_0000023,CUST_006190,2024-06-07 19:47:00,2024-06-07,배송완료
ORD_0000024,CUST_002288,2024-03-19 19:56:00,2024-03-19,배송완료
ORD_0000025,CUST_015075,2024-03-08 17:04:00,2024-03-08,배송중
ORD_0000026,CUST_000337,2024-03-10 18:38:00,2024-03-10,배송완료
ORD_0000027,CUST_012637,2024-02-02 12:47:00,2024-02-02,배송완료
ORD_0000028,CUST_014264,2024-05-18 10:14:00,2024-05-18,배송완료
ORD_0000029,CUST_008045,2024-06-12 00:31:00,2024-06-12,배송완료
ORD_0000030,CUST_002288,2024-05-14 10:51:00,2024-05-14,배송완료
ORD_0000031,CUST_008228,2024-03-14 11:15:00,2024-03-14,배송완료
ORD_0000032,CUST_009135,2024-04-21 21:46:00,2024-04-21,배송완료
ORD_0000033,CUST_002409,2024-06-21 16:40:00,2024-06-21,배송완료
ORD_0000034,CUST_000337,2024-05-22 22:41:00,2024-05-22,배송완료
